Year,G,SBatt,SB,CS,BK,SB%
2023-Mar,40,0.90,0.78,0.13,0.08,86.1%
2023-Apr,432,0.89,0.73,0.16,0.04,82.3%
2023,472,0.89,0.74,0.15,0.05,82.6%
2022,4860,0.68,0.51,0.17,0.03,75.4%
2021,4858,0.60,0.46,0.15,0.03,75.7%
2020,1796,0.66,0.49,0.16,0.04,75.2%
2019,4858,0.64,0.47,0.17,0.03,73.3%
2018,4862,0.71,0.51,0.20,0.03,72.1%
2017,4860,0.71,0.52,0.19,0.03,73.0%
2016,4856,0.73,0.52,0.21,0.03,71.7%
2015,4858,0.73,0.52,0.22,0.03,70.2%
2014,4860,0.78,0.57,0.21,0.03,72.8%
2013,4862,0.76,0.55,0.21,0.03,72.8%
2012,4860,0.90,0.66,0.23,0.03,74.0%
2011,4858,0.93,0.67,0.26,0.03,72.2%
2010,4860,0.84,0.61,0.23,0.04,72.4%
2009,4860,0.84,0.61,0.23,0.03,72.4%
2008,4856,0.79,0.58,0.21,0.03,73.0%
2007,4862,0.81,0.60,0.21,0.03,74.4%
2006,4858,0.80,0.57,0.23,0.03,71.4%
2005,4862,0.75,0.53,0.22,0.03,70.6%
2004,4856,0.76,0.53,0.23,0.03,70.2%
2003,4860,0.76,0.53,0.23,0.03,69.4%
2002,4852,0.83,0.57,0.26,0.03,68.2%
2001,4858,0.93,0.64,0.29,0.03,68.8%
2000,4858,0.87,0.60,0.27,0.03,68.8%
1999,4856,1.02,0.70,0.31,0.04,69.3%
1998,4864,0.98,0.68,0.31,0.04,68.6%
