Tm,#Bat,BatAge,R/G,G,PA,AB,R,H▼,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Toronto Blue Jays,27,28.8,5.27,15,595,531,79,150,23,1,16,74,12,4,51,117,.282,.350,.420,.770,113,223,8,7,1,5,2,118
Atlanta Braves,32,28.3,5.47,15,594,525,82,146,30,0,22,77,10,2,63,141,.278,.359,.461,.820,117,242,17,4,0,2,0,115
Philadelphia Phillies,28,28.5,4.07,15,571,523,61,145,36,6,13,59,10,1,41,145,.277,.332,.444,.775,108,232,11,3,1,3,2,111
Chicago White Sox,31,28.1,4.67,15,585,538,70,142,38,0,15,69,13,0,38,121,.264,.317,.418,.736,100,225,9,5,1,2,1,112
St. Louis Cardinals,28,27.6,4.13,15,583,518,62,141,24,1,16,61,10,2,56,126,.272,.345,.415,.760,109,215,14,3,2,3,3,123
Tampa Bay Rays,31,26.9,7.07,15,568,502,106,140,30,0,35,104,10,5,50,116,.279,.352,.548,.900,149,275,4,10,0,6,0,87
Milwaukee Brewers,29,27.4,5.07,15,575,502,76,136,20,1,20,76,11,4,65,133,.271,.355,.434,.789,113,218,15,3,0,5,0,107
Colorado Rockies,26,29.6,4.20,15,559,512,63,134,31,0,15,59,2,1,36,130,.262,.315,.410,.726,84,210,15,6,0,4,1,100
Houston Astros,26,28.5,5.07,15,594,520,76,132,23,0,16,73,10,2,58,126,.254,.335,.390,.725,100,203,7,8,2,5,3,119
Baltimore Orioles,30,27.2,5.73,15,586,499,86,128,31,1,22,84,22,2,71,139,.257,.353,.455,.808,121,227,13,7,3,6,1,105
Washington Nationals,27,27.0,3.67,15,569,510,55,128,20,2,6,52,7,4,46,98,.251,.318,.333,.651,82,170,14,6,3,4,0,112
Arizona Diamondbacks,30,27.5,4.27,15,541,498,64,127,33,3,11,61,18,1,28,104,.255,.302,.400,.702,88,199,13,8,1,5,0,87
League Average,29,28.5,4.72,15,565,501,70,125,26,2,17,67,11,2,52,128,.250,.326,.410,.736,100,206,11,6,1,4,1,103
Cleveland Guardians,27,27.0,4.53,15,609,521,68,124,31,4,8,61,24,4,74,111,.238,.334,.359,.693,94,187,9,5,1,8,9,129
Miami Marlins,30,29.9,3.27,15,537,493,49,124,19,3,16,48,11,2,40,131,.252,.310,.400,.709,91,197,16,2,0,1,0,96
San Diego Padres,27,29.5,4.44,16,602,522,71,123,29,0,22,67,8,1,65,133,.236,.323,.418,.741,104,218,15,5,3,5,2,109
Seattle Mariners,32,28.2,4.87,15,583,521,73,123,34,1,15,71,12,4,48,140,.236,.311,.392,.703,97,204,6,10,1,3,1,107
San Francisco Giants,31,29.6,4.93,14,562,497,69,123,17,1,25,69,7,1,54,156,.247,.331,.437,.768,107,217,9,9,0,2,0,113
Chicago Cubs,28,29.2,5.38,13,496,447,70,122,20,0,16,67,17,4,42,109,.273,.337,.425,.762,105,190,10,3,0,3,0,87
Minnesota Twins,30,28.8,4.20,15,558,508,63,121,21,3,16,58,1,2,40,143,.238,.303,.386,.689,90,196,11,8,0,2,1,97
Boston Red Sox,28,29.2,5.67,15,576,505,85,120,29,2,20,78,6,0,56,120,.238,.325,.422,.746,99,213,11,10,1,2,1,96
Cincinnati Reds,29,27.6,5.07,14,533,466,71,118,22,3,14,69,10,5,56,130,.253,.339,.403,.742,92,188,6,6,2,3,1,97
Oakland Athletics,30,28.7,3.93,15,565,502,59,118,21,1,16,58,15,1,47,137,.235,.308,.376,.685,93,189,14,8,2,4,1,101
Los Angeles Angels,28,29.2,5.36,14,547,471,75,116,19,0,18,74,5,1,62,124,.246,.342,.401,.744,103,189,14,9,0,4,1,101
New York Yankees,29,29.5,4.80,15,543,489,72,116,18,3,25,66,16,4,48,135,.237,.308,.440,.747,104,215,10,3,0,3,0,81
Pittsburgh Pirates,30,28.5,4.13,15,563,493,62,116,27,3,19,59,18,3,58,125,.235,.317,.418,.735,98,206,11,4,1,7,0,102
Texas Rangers,29,28.9,5.36,14,523,469,75,115,25,2,15,72,4,1,44,118,.245,.314,.403,.717,97,189,8,5,1,4,0,84
Los Angeles Dodgers,26,31.1,5.53,15,576,485,83,112,23,6,26,82,2,4,76,144,.231,.339,.464,.803,110,225,9,7,0,7,0,101
New York Mets,28,30.9,4.73,15,580,482,71,106,27,0,15,70,17,1,78,107,.220,.340,.369,.710,95,178,9,13,1,6,0,116
Kansas City Royals,28,27.3,3.33,15,543,498,50,105,24,3,12,47,9,0,38,142,.211,.273,.343,.616,68,171,10,5,0,2,2,89
Detroit Tigers,30,27.2,3.57,14,536,486,50,101,24,2,10,49,7,4,42,142,.208,.273,.327,.601,68,159,10,3,1,3,1,98
,864,28.5,4.72,444,16952,15033,2096,3752,769,52,515,2014,324,70,1571,3843,.250,.326,.410,.736,100,6170,328,185,28,119,33,3100
