Tm,R/G,ROE,XI,RS%,SBO,SB,CS,SB%,SB2,CS2,SB3,CS3,SBH,CSH,PO,PCS,OOB,OOB1,OOB2,OOB3,OOBHm,BT,XBT%,1stS,1stS2,1stS3,1stD,1stD3,1stDH,2ndS,2ndS3,2ndSH
Arizona Diamondbacks,4.31,4,1,36%,200,18,1,95%,15,1,2,0,1,0,1,0,7,0,3,2,2,10,60%,23,12,11,8,2,5,19,4,14
Atlanta Braves,5.44,3,0,32%,238,11,2,85%,10,2,1,0,0,0,1,0,2,0,1,1,0,17,58%,34,21,13,10,2,8,22,5,17
Baltimore Orioles,5.88,2,0,36%,239,24,2,92%,20,2,4,0,0,0,1,0,6,1,2,1,2,24,42%,28,21,7,8,5,3,19,6,13
Boston Red Sox,5.44,8,2,38%,216,7,0,100%,6,0,1,0,0,0,1,0,5,2,1,1,1,20,51%,25,16,8,8,4,4,18,3,14
Chicago Cubs,5.21,3,1,34%,204,19,5,79%,16,4,3,0,0,1,2,1,2,0,1,1,0,9,39%,35,25,10,6,5,1,20,7,13
Chicago White Sox,4.62,4,1,32%,225,13,0,100%,11,0,2,0,0,0,0,0,3,0,0,1,2,12,47%,32,17,15,13,10,3,19,6,12
Cincinnati Reds,4.93,2,0,34%,227,10,5,67%,9,5,1,0,0,0,1,1,5,3,1,1,0,16,50%,29,21,8,7,4,3,22,4,18
Cleveland Guardians,4.62,5,0,32%,246,25,4,86%,24,4,1,0,0,0,2,2,8,2,2,2,2,23,36%,27,17,8,14,9,5,20,11,9
Colorado Rockies,3.94,5,1,29%,216,2,1,67%,1,1,1,0,0,0,0,0,3,1,0,1,1,14,27%,31,24,6,14,10,3,19,11,8
Detroit Tigers,3.57,5,1,29%,181,7,4,64%,7,4,0,0,0,0,1,1,3,0,1,1,1,12,45%,18,12,6,11,5,6,11,4,6
Houston Astros,4.81,7,1,31%,264,13,2,87%,11,2,2,0,0,0,1,0,6,1,4,1,0,21,45%,36,24,11,9,5,4,17,4,13
Kansas City Royals,3.38,5,1,28%,203,9,0,100%,8,0,1,0,0,0,0,0,5,0,3,1,1,7,48%,27,19,8,5,2,3,14,2,11
Los Angeles Angels,5.07,4,1,33%,223,5,2,71%,4,2,1,0,0,0,1,0,2,1,0,1,0,22,37%,35,25,10,8,5,3,17,8,9
Los Angeles Dodgers,5.31,4,1,32%,226,2,4,33%,2,4,0,0,0,0,1,0,3,0,0,2,1,16,45%,21,13,7,8,5,3,13,4,9
Miami Marlins,3.06,1,1,21%,204,11,2,85%,9,2,2,0,0,0,0,0,6,0,4,1,1,8,34%,29,22,7,2,2,0,13,4,8
Milwaukee Brewers,4.81,1,0,30%,221,13,4,76%,11,3,2,1,0,0,1,1,6,1,3,0,2,23,37%,43,29,13,6,3,3,16,8,8
Minnesota Twins,3.94,3,0,30%,200,1,2,33%,1,2,0,0,0,0,1,1,5,1,0,2,2,12,38%,29,22,7,5,1,4,14,6,7
New York Mets,4.69,3,0,30%,233,20,1,95%,19,1,1,0,0,0,1,0,4,0,3,1,0,10,48%,20,11,9,11,6,5,13,6,7
New York Yankees,4.62,1,0,32%,195,17,5,77%,13,5,4,0,0,0,0,0,5,1,1,1,2,16,45%,21,15,6,6,3,3,22,9,13
Oakland Athletics,3.88,2,2,26%,230,18,1,95%,14,1,4,0,0,0,2,1,7,3,0,0,4,9,41%,33,19,14,7,5,2,16,6,7
Philadelphia Phillies,4.69,1,0,30%,244,10,1,91%,9,1,1,0,0,0,1,0,9,1,4,2,2,15,42%,36,27,8,15,6,9,28,11,16
Pittsburgh Pirates,4.12,2,0,28%,204,18,3,86%,14,3,4,0,0,0,1,1,9,2,0,2,5,17,44%,27,17,10,4,2,2,14,5,8
San Diego Padres,4.18,2,2,28%,236,8,1,89%,6,1,2,0,0,0,1,1,8,1,2,2,3,21,44%,26,16,10,3,2,1,12,5,7
Seattle Mariners,4.62,6,0,34%,227,13,4,76%,11,4,2,0,0,0,1,0,4,0,2,1,1,18,46%,27,16,10,5,2,3,20,8,11
San Francisco Giants,4.93,2,0,27%,217,7,1,88%,7,1,0,0,0,0,1,1,1,0,1,0,0,8,32%,28,24,4,8,4,4,14,6,8
St. Louis Cardinals,4.19,5,1,25%,250,10,2,83%,8,2,2,0,0,0,1,1,7,1,1,1,4,12,40%,39,25,14,10,7,2,19,7,11
Tampa Bay Rays,7.12,1,0,43%,213,12,5,71%,12,4,0,1,0,0,2,2,2,0,0,1,1,18,48%,26,17,9,10,6,4,23,8,15
Texas Rangers,5.60,7,0,43%,213,4,1,80%,4,1,0,0,0,0,0,0,5,0,3,0,2,20,37%,25,19,6,10,5,4,19,9,10
Toronto Blue Jays,5.00,2,0,32%,259,12,4,75%,8,3,4,0,0,1,1,0,4,0,1,2,1,21,40%,42,28,12,8,6,1,18,4,14
Washington Nationals,3.88,5,0,29%,238,8,4,67%,8,4,0,0,0,0,2,1,1,0,0,1,0,25,35%,38,26,12,10,6,4,17,10,7
League Average,4.66,4,1,31%,223,12,2,83%,10,2,2,0,0,0,1,0,5,1,1,1,1,16,42%,30,20,9,8,5,4,18,6,11
,4.66,105,17,31%,6692,347,73,83%,298,69,48,2,1,2,29,15,143,22,44,34,43,476,42%,890,600,279,249,139,105,528,191,323
