Tm,R/G,ROE,XI,RS%,SBO,SB,CS,SB%,SB2,CS2,SB3,CS3,SBH,CSH,PO,PCS,OOB,OOB1,OOB2,OOB3,OOBHm,BT,XBT%,1stS,1stS2,1stS3,1stD,1stD3,1stDH,2ndS,2ndS3,2ndSH
Arizona Diamondbacks,4.33,37,4,32%,2097,104,29,,89,25,14,3,1,1,10,7,41,10,13,8,10,162,49%,236,142,91,80,44,34,157,50,105
Atlanta Braves,4.87,29,0,32%,2195,87,31,,75,30,12,0,0,1,4,3,53,8,9,19,17,140,50%,250,144,100,86,51,33,160,37,113
Baltimore Orioles,4.16,47,6,30%,2190,95,31,,81,26,14,4,0,1,8,6,50,7,14,11,18,167,45%,231,152,75,83,43,38,155,53,99
Boston Red Sox,4.54,42,2,32%,2345,52,20,,45,18,7,2,0,0,7,3,34,3,11,9,11,139,38%,297,206,88,110,69,40,190,86,97
Chicago Cubs,4.06,46,1,29%,2194,111,37,,91,31,19,5,1,1,10,5,68,6,24,14,24,121,44%,273,166,102,72,41,29,144,55,84
Chicago White Sox,4.23,41,0,30%,2298,58,10,,43,10,15,0,0,0,5,0,50,4,14,12,20,151,37%,341,250,89,93,56,36,194,76,106
Cincinnati Reds,4.00,31,9,29%,2096,58,33,,53,28,5,3,0,2,12,5,51,6,17,10,18,136,39%,269,201,65,75,39,33,148,51,92
Cleveland Guardians,4.31,43,0,31%,2388,119,27,,109,25,10,2,0,0,5,3,43,9,12,10,12,134,43%,324,204,115,77,46,30,172,62,103
Colorado Rockies,4.31,44,1,30%,2366,45,20,,41,19,4,0,0,1,5,1,42,7,14,10,11,120,43%,316,215,98,82,39,41,173,63,107
Detroit Tigers,3.44,41,0,28%,2061,47,24,,43,23,4,1,0,0,5,2,52,10,7,14,21,132,44%,265,178,83,87,41,44,149,50,92
Houston Astros,4.55,24,6,30%,2194,83,22,,72,17,9,2,2,3,3,2,55,10,21,12,12,134,37%,260,190,67,76,51,24,170,69,95
Kansas City Royals,3.95,40,1,29%,2194,104,34,,96,30,8,4,0,0,11,6,52,7,17,6,22,135,46%,268,173,90,85,44,40,168,52,107
Los Angeles Angels,3.85,31,1,27%,2102,77,27,,68,24,9,3,0,0,11,4,44,6,14,7,17,93,41%,229,152,75,60,34,23,127,48,72
Los Angeles Dodgers,5.23,37,2,34%,2334,98,18,,89,17,9,1,0,0,6,1,58,10,13,18,17,165,40%,273,196,73,119,65,52,177,69,101
Miami Marlins,3.62,42,8,27%,2032,122,29,,106,23,16,4,0,2,15,6,43,6,16,12,9,129,38%,266,188,68,66,46,19,144,47,93
Milwaukee Brewers,4.48,31,0,29%,2236,96,30,,90,22,5,7,1,1,8,3,32,6,7,6,13,101,40%,242,175,67,89,40,46,126,52,68
Minnesota Twins,4.30,45,1,29%,2338,38,17,,34,14,4,2,0,1,5,0,52,6,20,10,16,124,40%,323,227,93,100,56,42,139,45,87
New York Mets,4.77,35,1,31%,2397,62,22,,53,20,7,2,2,0,2,2,44,8,15,11,10,136,38%,321,231,87,95,52,40,188,75,105
New York Yankees,4.98,45,5,31%,2247,102,33,,82,27,20,6,0,0,12,4,45,6,13,16,10,145,38%,269,191,74,82,45,33,155,62,85
Oakland Athletics,3.51,30,2,28%,1976,78,23,,71,20,7,2,0,1,9,3,37,4,9,9,15,138,44%,207,132,72,75,47,26,132,43,85
Philadelphia Phillies,4.61,44,1,31%,2202,105,28,,86,27,17,0,2,1,13,4,36,5,14,5,12,123,39%,285,203,80,95,51,41,161,63,91
Pittsburgh Pirates,3.65,38,0,27%,2051,89,32,,74,27,15,3,0,2,13,6,48,9,11,11,17,126,42%,244,162,77,73,39,34,113,38,70
San Diego Padres,4.35,44,5,30%,2351,49,22,,45,19,4,3,0,0,12,7,44,8,10,12,14,130,44%,304,205,98,101,52,46,160,51,103
Seattle Mariners,4.26,38,3,28%,2127,83,27,,75,24,8,3,0,0,12,7,31,8,8,10,5,158,38%,265,197,67,70,40,28,151,61,88
San Francisco Giants,4.42,36,0,30%,2205,64,16,,61,14,3,1,0,1,13,6,33,10,6,7,10,165,36%,301,217,81,85,56,27,160,67,90
St. Louis Cardinals,4.77,37,2,31%,2292,95,25,,85,22,10,2,0,1,5,2,49,6,17,7,19,139,46%,287,181,102,89,55,31,178,53,120
Tampa Bay Rays,4.11,33,1,30%,2292,95,37,,82,29,13,8,0,0,12,5,73,11,23,16,23,126,47%,257,160,88,87,40,43,167,54,107
Texas Rangers,4.36,41,0,31%,2126,128,41,,111,34,17,6,0,1,18,11,42,7,10,11,14,136,44%,279,192,83,68,32,35,170,52,107
Toronto Blue Jays,4.78,37,7,31%,2308,67,35,,63,33,4,2,0,0,9,3,44,8,18,12,6,118,41%,325,234,89,101,56,44,169,49,113
Washington Nationals,3.72,37,5,27%,2132,75,31,,69,26,5,4,1,1,15,8,50,8,13,8,21,130,37%,317,227,87,83,50,30,188,74,102
League Average,4.28,38,2,30%,2212,83,27,,73,23,10,3,0,1,9,4,47,7,14,11,15,135,41%,277,190,84,85,47,35,160,57,96
,4.28,1146,74,30%,66366,2486,811,,2182,704,294,85,10,22,275,125,1396,219,410,323,444,4053,41%,8324,5691,2524,2544,1420,1062,4785,1707,2887
